Process Name	Seconds(ms)	CPU(%)	Memory(MB)
GeneticCars	165000	0.6316631	296.02
GeneticCars	166000	0.3795951	296.02
GeneticCars	167000	1.135717	296.02
GeneticCars	168000	0.8838539	296.02
GeneticCars	169000	0.126253	296.02
GeneticCars	170000	2.022873	296.02
GeneticCars	171000	1.263524	296.02
GeneticCars	172000	1.010501	296.02
GeneticCars	173000	0.7571383	296.02
GeneticCars	174000	0.8840961	296.02
GeneticCars	175000	1.009218	296.02
GeneticCars	176000	1.5053	296.02
GeneticCars	177000	0.6313244	296
GeneticCars	178000	2.146756	296
GeneticCars	179000	0.8822997	296
GeneticCars	180000	1.009995	296
GeneticCars	181000	0.6306646	296
GeneticCars	182000	1.64048	296
GeneticCars	183000	0.7542776	296.02
GeneticCars	184000	0.3780678	296.02
GeneticCars	185000	0.5050317	296.02
GeneticCars	186000	0.5050992	296.02
GeneticCars	187000	3.159686	296.02
GeneticCars	188000	0.885046	296.02
GeneticCars	189000	0.7588895	296.02
GeneticCars	190000	1.138098	296.02
GeneticCars	191000	2.272766	296.02
GeneticCars	192000	0.3788264	296.02
GeneticCars	193000	1.391965	296.02
GeneticCars	194000	1.642388	296.02
GeneticCars	195000	0.7577543	296.02
GeneticCars	196000	0.5053359	296.02
GeneticCars	197000	0	296.02
GeneticCars	198000	2.024165	296.02
GeneticCars	199000	1.390262	296.02
GeneticCars	200000	0.8855718	296.02
GeneticCars	201000	0.5055494	296.02
GeneticCars	202000	0.6325518	296.02
GeneticCars	203000	1.137486	296.02
GeneticCars	204000	0.3789684	296.02
GeneticCars	205000	0	296.02
GeneticCars	206000	0.3795637	296.02
GeneticCars	207000	0.3791621	296.02
GeneticCars	208000	1.517227	296.02
GeneticCars	209000	0.1264087	296.02
GeneticCars	210000	0	296.02
GeneticCars	211000	0.252285	296.02
GeneticCars	212000	0.3791625	296.02
GeneticCars	213000	0	296.02
GeneticCars	214000	0.2527747	296.02
GeneticCars	215000	0	296.02
GeneticCars	216000	0	296.02
GeneticCars	217000	1.516699	296.02
GeneticCars	218000	2.02649	296.02
GeneticCars	219000	1.39064	296.02
GeneticCars	220000	1.261672	296.02
GeneticCars	221000	1.00831	296.02
GeneticCars	222000	1.263542	296.02
GeneticCars	223000	1.391468	296.02
GeneticCars	224000	0.5051237	296.02
GeneticCars	225000	1.262648	296.02
GeneticCars	226000	1.390262	296.02
GeneticCars	227000	1.136384	296.02
GeneticCars	228000	1.644633	296.02
GeneticCars	229000	0.7575222	296.02
GeneticCars	230000	1.893617	296.02
GeneticCars	231000	0.5050557	296.02
GeneticCars	232000	1.644645	296.04
GeneticCars	233000	0.1263874	296.04
GeneticCars	234000	0.8855718	296.04
GeneticCars	235000	1.138034	296.04
GeneticCars	236000	2.274972	296.04
GeneticCars	237000	0.1264337	296.04
GeneticCars	238000	0.5057176	296.04
GeneticCars	239000	2.272526	296.04
GeneticCars	240000	0.7568181	296.04
GeneticCars	241000	0.3785132	296.04
GeneticCars	242000	1.263341	296.04
GeneticCars	243000	1.010431	296.04
GeneticCars	244000	0.7593743	296.04
GeneticCars	245000	0.3787945	296.04
GeneticCars	246000	0.8855719	296.04
GeneticCars	247000	1.264444	296.04
GeneticCars	248000	0.5050588	296.04
GeneticCars	249000	3.156622	296.04
GeneticCars	250000	1.136915	296.04
GeneticCars	251000	1.516389	296.04
GeneticCars	252000	0.3795054	296.04
GeneticCars	253000	1.137335	296.04
GeneticCars	254000	1.642165	296.04
GeneticCars	255000	4.167011	296.04
GeneticCars	256000	0.6303874	296.04
GeneticCars	257000	2.523283	296.04
GeneticCars	258000	0.7590615	296.04
GeneticCars	259000	1.389789	296.04
GeneticCars	260000	2.527408	296.04
GeneticCars	261000	1.639234	296.04
GeneticCars	262000	1.900077	296.04
GeneticCars	263000	0.8847118	296.04
GeneticCars	264000	0.5054779	296.04
GeneticCars	265000	0.6314908	296.04
GeneticCars	266000	1.892508	296.04
GeneticCars	267000	1.516081	296.04
GeneticCars	268000	0.8847116	296.04
GeneticCars	269000	0.8842805	296.04
GeneticCars	270000	0.6303229	296.04
GeneticCars	271000	1.515161	296.04
GeneticCars	272000	2.908066	296.04
GeneticCars	273000	1.389854	296.04
GeneticCars	274000	1.644262	296.04
GeneticCars	275000	0.5046772	296.04
GeneticCars	276000	0.6331667	296.04
GeneticCars	277000	0.6315467	296.04
GeneticCars	278000	1.770271	296.04
GeneticCars	279000	0.5054653	296.03
GeneticCars	280000	0.7589903	296.03
GeneticCars	281000	0.6319377	296.03
GeneticCars	282000	0.6324394	296.03
GeneticCars	283000	2.397386	296.03
GeneticCars	284000	1.644633	296.03
GeneticCars	285000	1.76843	296.03
GeneticCars	286000	0.6321746	296.03
GeneticCars	287000	0	296.03
GeneticCars	288000	0.2530208	296.03
GeneticCars	289000	0.7590613	296.03
GeneticCars	290000	1.516649	296.03
GeneticCars	291000	0	296.03
GeneticCars	292000	0.506041	296.03
GeneticCars	293000	1.516961	296.03
GeneticCars	294000	0.5062869	296.03
GeneticCars	295000	0.884712	296.03
GeneticCars	296000	0.5067642	296.03
GeneticCars	297000	1.263314	296.03
GeneticCars	298000	0.6327091	296.03
GeneticCars	299000	0.8839242	296.1
GeneticCars	300000	0.6319386	296.1
GeneticCars	301000	0.3776952	296.1
GeneticCars	302000	0.379431	296.2
GeneticCars	303000	0	296.2
GeneticCars	304000	1.391613	296.2
GeneticCars	305000	0	296.2
GeneticCars	306000	0.3795308	296.2
GeneticCars	307000	0	296.2
GeneticCars	308000	0.3787943	296.2
GeneticCars	309000	0.1263875	296.2
GeneticCars	310000	0.1266333	296.2
GeneticCars	311000	0.2527749	296.2
GeneticCars	312000	0.2532667	296.2
GeneticCars	313000	0.2525298	296.2
GeneticCars	314000	0	296.2
GeneticCars	315000	0.1261425	296.2
GeneticCars	316000	0	296.2
GeneticCars	317000	0.3787947	296.2
GeneticCars	318000	1.390261	296.2
GeneticCars	319000	1.391613	296.2
GeneticCars	320000	0.5070264	296.2
GeneticCars	321000	0.3791623	296.2
GeneticCars	322000	0.1266332	296.2
GeneticCars	323000	0.3795307	296.2
GeneticCars	324000	1.392967	296.2
GeneticCars	325000	0.3791623	296.2
GeneticCars	326000	1.131992	296.2
GeneticCars	327000	0.2508268	296.2
GeneticCars	328000	0.1263874	296.2
GeneticCars	329000	0.883854	296.2
GeneticCars	330000	0.6292461	296.2
GeneticCars	331000	1.265342	296.2
GeneticCars	332000	0.6321498	296.2
GeneticCars	333000	0.2527748	296.2
GeneticCars	334000	0.1260201	296.2
GeneticCars	335000	0.1250522	296.2
GeneticCars	336000	3.545735	296.32
GeneticCars	337000	4.669592	296.33
GeneticCars	338000	0	296.33
GeneticCars	339000	0	296.33
GeneticCars	340000	0.6326895	296.33
GeneticCars	341000	0.1265176	296.33
GeneticCars	342000	0.5060409	296.33
GeneticCars	343000	0.2525297	296.33
GeneticCars	344000	0.3787945	296.33
GeneticCars	345000	0.1263874	296.33
GeneticCars	346000	0.5065334	296.33
GeneticCars	347000	0.5055496	296.31
GeneticCars	348000	0.6319372	296.31
GeneticCars	349000	0.3791622	296.31
GeneticCars	350000	0.3795309	296.31
GeneticCars	351000	0.2527748	296.31
GeneticCars	352000	0.2527749	296.31
GeneticCars	353000	0.5060405	296.31
GeneticCars	354000	0.2530208	296.31
GeneticCars	355000	0.1263874	296.31
GeneticCars	356000	0	296.31
GeneticCars	357000	0.5055497	296.31
GeneticCars	358000	0.1265102	296.31
GeneticCars	359000	0.6301015	296.31
GeneticCars	360000	0.126265	296.31
GeneticCars	361000	0.1257767	296.31
GeneticCars	362000	0.3791626	296.31
GeneticCars	363000	0.1263874	296.31
GeneticCars	364000	0.1265103	296.31
GeneticCars	365000	0.5060406	296.31
GeneticCars	366000	0.6325516	296.31
GeneticCars	367000	1.138593	296.31
GeneticCars	368000	0.1263874	296.31
GeneticCars	369000	0.3791623	296.31
GeneticCars	370000	1.265102	296.31
GeneticCars	371000	0.3794244	296.31
GeneticCars	372000	1.3892	296.29
GeneticCars	373000	0.1263874	296.29
GeneticCars	374000	0.252873	296.29
GeneticCars	375000	0.2520407	296.29
GeneticCars	376000	1.391613	296.29
GeneticCars	377000	0.1263874	296.29
GeneticCars	378000	0.3795649	296.29
GeneticCars	379000	0.1263875	296.29
GeneticCars	380000	0.1265102	296.29
GeneticCars	381000	0.3791648	296.29
GeneticCars	382000	0	296.29
GeneticCars	383000	0	296.29
GeneticCars	384000	0.379531	296.29
GeneticCars	385000	0.2510683	296.29
GeneticCars	386000	0.1265103	296.29
GeneticCars	387000	0	296.29
GeneticCars	388000	0.3780612	296.29
GeneticCars	389000	0.1263874	296.29
GeneticCars	390000	0.1265103	296.29
GeneticCars	391000	0.1265102	296.29
GeneticCars	392000	0.1266333	296.29
GeneticCars	393000	0.2527747	296.29
GeneticCars	394000	0.126633	296.29
GeneticCars	395000	0.3795317	296.29
GeneticCars	396000	0	296.29
GeneticCars	397000	0.5060409	296.29
GeneticCars	398000	1.0111	296.29
GeneticCars	399000	0.2530204	296.4
GeneticCars	400000	0.5060408	296.4
GeneticCars	401000	0.5050598	296.4
GeneticCars	402000	0.2525297	296.4
GeneticCars	403000	0.2530204	296.4
